"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\EstadosController.cs", "C#", 104, 0, 0, 0, 0, 0, 6, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\FavoritosController.cs", "C#", 86, 0, 0, 0, 0, 0, 5, 91
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\FotosPublicacionesController.cs", "C#", 137, 0, 0, 0, 0, 0, 8, 145
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\LikesController.cs", "C#", 104, 0, 0, 0, 0, 0, 6, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MensajeAccionController.cs", "C#", 103, 0, 0, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MensajesController.cs", "C#", 126, 0, 0, 0, 0, 0, 11, 137
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MotivoReporteController.cs", "C#", 103, 0, 0, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\NotificacionesController.cs", "C#", 69, 0, 0, 0, 0, 0, 5, 74
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\PersonaController.cs", "C#", 155, 0, 0, 0, 0, 0, 10, 165
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\PublicacionesController.cs", "C#", 273, 0, 0, 0, 0, 0, 15, 288
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\RazonesController.cs", "C#", 103, 0, 0, 0, 0, 0, 8, 111
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ReporteController.cs", "C#", 87, 0, 0, 0, 0, 0, 9, 96
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ReseniaController.cs", "C#", 154, 0, 0, 0, 0, 0, 10, 164
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\RolController.cs", "C#", 103, 0, 0, 0, 0, 0, 6, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\TipoAccionController.cs", "C#", 103, 0, 0, 0, 0, 0, 6, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\TipoReporteController.cs", "C#", 103, 0, 0, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\VerificacionController.cs", "C#", 69, 0, 0, 0, 0, 0, 7, 76
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Hubs\MensajesHub.cs", "C#", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Program.cs", "C#", 38, 0, 0, 0, 0, 29, 24, 91
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Utilidad\Respuesta.cs", "C#", 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\appsettings.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.deps.json", "JSON", 0, 0, 1248, 0, 0, 0, 0, 1248
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.staticwebassets.endpoints.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.dgspec.json", "JSON", 0, 0, 538, 0, 0, 0, 0, 538
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.g.props", "XML", 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.g.targets", "XML", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 0, 10, 5, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 0, 1809, 0, 0, 0, 0, 1809
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\EndpointInfo\API.json", "JSON", 0, 0, 3431, 0, 0, 0, 0, 3431
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rbcswa.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rjsmcshtml.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rjsmrazor.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rpswa.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\project.assets.json", "JSON", 0, 0, 3496, 0, 0, 0, 0, 3496
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\AuthTest.csproj", "XML", 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\CategoriaPublicacionApiTests.cs", "C#", 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\MSTestSettings.cs", "C#", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\API.deps.json", "JSON", 0, 0, 1248, 0, 0, 0, 0, 1248
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\API.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\API.staticwebassets.endpoints.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\AuthTest.deps.json", "JSON", 0, 0, 6539, 0, 0, 0, 0, 6539
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\AuthTest.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\BLL.deps.json", "JSON", 0, 0, 1122, 0, 0, 0, 0, 1122
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\DAL.deps.json", "JSON", 0, 0, 1034, 0, 0, 0, 0, 1034
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\DTO.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\IOC.deps.json", "JSON", 0, 0, 1140, 0, 0, 0, 0, 1140
