"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\resena.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\resenas-manager.service.ts", "TypeScript", 0, 0, 0, 174, 0, 0, 0, 0, 21, 195
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\signalr.service.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\tipo-accion.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\tipoReporte.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\usuario-manager.service.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 144, 0, 0, 0, 0, 5, 149
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\data\universidades-data.data.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\compras\pages\compras-page\compras-page.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\compras\pages\compras-page\compras-page.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\compras\pages\compras-page\compras-page.component.ts", "TypeScript", 0, 0, 0, 199, 0, 0, 0, 17, 31, 247
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\editar-perfil\editar-perfil.component.css", "PostCSS", 0, 0, 0, 0, 99, 0, 0, 0, 18, 117
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\editar-perfil\editar-perfil.component.html", "HTML", 0, 0, 0, 0, 0, 266, 0, 0, 12, 278
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\editar-perfil\editar-perfil.component.ts", "TypeScript", 0, 0, 0, 267, 0, 0, 0, 0, 27, 294
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mi-cuenta\mi-cuenta.component.css", "PostCSS", 0, 0, 0, 0, 88, 0, 0, 0, 16, 104
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mi-cuenta\mi-cuenta.component.html", "HTML", 0, 0, 0, 0, 0, 118, 0, 0, 3, 121
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mi-cuenta\mi-cuenta.component.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 18, 104
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mis-publicaciones\mis-publicaciones.component.css", "PostCSS", 0, 0, 0, 0, 74, 0, 0, 0, 15, 89
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mis-publicaciones\mis-publicaciones.component.html", "HTML", 0, 0, 0, 0, 0, 85, 0, 0, 13, 98
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\mis-publicaciones\mis-publicaciones.component.ts", "TypeScript", 0, 0, 0, 319, 0, 0, 0, 0, 34, 353
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\reputacion\reputacion.component.css", "PostCSS", 0, 0, 0, 0, 279, 0, 0, 14, 53, 346
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\reputacion\reputacion.component.html", "HTML", 0, 0, 0, 0, 0, 104, 0, 9, 8, 121
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\cuenta\reputacion\reputacion.component.ts", "TypeScript", 0, 0, 0, 215, 0, 0, 0, 11, 37, 263
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-datos\anuncio-datos.component.css", "PostCSS", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-datos\anuncio-datos.component.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 0, 11, 99
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-datos\anuncio-datos.component.ts", "TypeScript", 0, 0, 0, 171, 0, 0, 0, 0, 27, 198
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-preview\anuncio-preview.component.css", "PostCSS", 0, 0, 0, 0, 99, 0, 0, 0, 21, 120
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-preview\anuncio-preview.component.html", "HTML", 0, 0, 0, 0, 0, 96, 0, 0, 9, 105
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\anuncio-preview\anuncio-preview.component.ts", "TypeScript", 0, 0, 0, 417, 0, 0, 0, 0, 37, 454
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\ventana\ventana.component.css", "PostCSS", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\ventana\ventana.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\components\ventana\ventana.component.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 9, 56
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\pages\home-page\home-page.component.css", "PostCSS", 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\pages\home-page\home-page.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\home\pages\home-page\home-page.component.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 1, 15, 139
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\login\components\login\login.component.css", "PostCSS", 0, 0, 0, 0, 126, 0, 0, 1, 27, 154
